Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM,RxBt(V),Curr(A),Capa(mAh),Bat%(%),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Rud,Ele,Thr,Ail,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2000-01-01,00:27:14.570,0.00,0.00,0.00,"",0.0,0.0,0,0,-58,0,98,9,0,9,25,-50,100,11,-1,8,-1024,4,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:14.760,0.00,0.00,0.00,"",0.0,0.0,0,0,-58,0,98,9,0,9,25,-50,100,11,-2,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:14.940,0.00,0.00,0.00,"",0.0,0.0,0,0,-59,0,100,11,0,9,25,-49,100,10,-1,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:15.140,0.00,0.00,0.00,"",0.0,0.0,0,0,-60,0,100,10,0,9,25,-48,100,10,-1,8,-1024,4,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:15.340,0.00,0.00,0.00,"",0.0,0.0,0,0,-60,0,100,10,0,9,25,-46,100,9,-1,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:15.540,0.00,0.00,0.00,"",0.0,0.0,0,0,-59,0,100,10,0,9,25,-48,100,11,-1,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:15.740,0.00,0.00,0.00,"",0.0,0.0,0,0,-64,0,100,10,0,9,25,-56,100,10,-1,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:15.930,0.00,0.00,0.00,"",0.0,0.0,0,0,-64,0,100,10,0,9,25,-56,100,10,-1,8,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:16.130,0.00,0.00,0.00,"",0.0,0.0,0,0,-61,0,100,9,0,9,25,-47,100,10,-1,7,-1024,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1530,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2000-01-01,00:27:16.330,0.00,0.00,0.00,"",0.0,0.0,0,0,-68,0,98,10,0,9,25,-57,100,11,-2,8,289,3,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,1644,1529,988,988,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
