Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM,RxBt(V),Curr(A),Capa(mAh),Bat%(%),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Rud,Ele,Thr,Ail,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V),GPS,GAlt(m),GSpd(kts),Hdg(@)
2026-09-14,18:32:10.000,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:10.200,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:10.400,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:10.600,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:10.800,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:11.000,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:11.200,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:11.400,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:11.600,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:11.800,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
